"player","salary","season_end","season_start","team","team_name"
"Adam Keefe",1200000,1994,1993,"ATL","Atlanta Hawks"
"Craig Ehlo",1200000,1994,1993,"ATL","Atlanta Hawks"
"Duane Ferrell",1025000,1994,1993,"ATL","Atlanta Hawks"
"Doug Edwards",650000,1994,1993,"ATL","Atlanta Hawks"
"Paul Graham",600000,1994,1993,"ATL","Atlanta Hawks"
"Greg Foster",250000,1994,1993,"ATL","Atlanta Hawks"
"Steve Henson",250000,1994,1993,"ATL","Atlanta Hawks"
"Ennis Whatley",150000,1994,1993,"ATL","Atlanta Hawks"
"Blair Rasmussen",2747500,1995,1994,"ATL","Atlanta Hawks"
"Craig Ehlo",2650000,1995,1994,"ATL","Atlanta Hawks"
"Jon Koncak",2600000,1995,1994,"ATL","Atlanta Hawks"
"Mookie Blaylock",2100000,1995,1994,"ATL","Atlanta Hawks"
"Ken Norman",1963000,1995,1994,"ATL","Atlanta Hawks"
"Steve Smith",1935900,1995,1994,"ATL","Atlanta Hawks"
"Stacey Augmon",1662500,1995,1994,"ATL","Atlanta Hawks"
"Tyrone Corbin",1600000,1995,1994,"ATL","Atlanta Hawks"
"Andrew Lang",1596000,1995,1994,"ATL","Atlanta Hawks"
"Grant Long",1485300,1995,1994,"ATL","Atlanta Hawks"
"Doug Edwards",845000,1995,1994,"ATL","Atlanta Hawks"
"Jim Les",250000,1995,1994,"ATL","Atlanta Hawks"
"Sergei Bazarevich",168000,1995,1994,"ATL","Atlanta Hawks"
"Fred Vinson",150000,1995,1994,"ATL","Atlanta Hawks"
"Greg Anderson",110000,1995,1994,"ATL","Atlanta Hawks"
"Tom Hovasse",6140,1995,1994,"ATL","Atlanta Hawks"
"Blair Rasmussen",3088000,1996,1995,"ATL","Atlanta Hawks"
"Steve Smith",2568000,1996,1995,"ATL","Atlanta Hawks"
"Mookie Blaylock",2500000,1996,1995,"ATL","Atlanta Hawks"
"Ken Norman",2416000,1996,1995,"ATL","Atlanta Hawks"
"Stacey Augmon",2160000,1996,1995,"ATL","Atlanta Hawks"
"Andrew Lang",1964000,1996,1995,"ATL","Atlanta Hawks"
"Grant Long",1860000,1996,1995,"ATL","Atlanta Hawks"
"Craig Ehlo",1855000,1996,1995,"ATL","Atlanta Hawks"
"Spud Webb",1800000,1996,1995,"ATL","Atlanta Hawks"
"Alan Henderson",791000,1996,1995,"ATL","Atlanta Hawks"
"Donnie Boyce",250000,1996,1995,"ATL","Atlanta Hawks"
"Matt Bullard",225000,1996,1995,"ATL","Atlanta Hawks"
"Todd Mundt",225000,1996,1995,"ATL","Atlanta Hawks"
"Dikembe Mutombo",8013000,1997,1996,"ATL","Atlanta Hawks"
"Christian Laettner",4500000,1997,1996,"ATL","Atlanta Hawks"
"Steve Smith",4500000,1997,1996,"ATL","Atlanta Hawks"
"Ken Norman",2869000,1997,1996,"ATL","Atlanta Hawks"
"Mookie Blaylock",2800000,1997,1996,"ATL","Atlanta Hawks"
"Alan Henderson",910000,1997,1996,"ATL","Atlanta Hawks"
"Priest Lauderdale",548000,1997,1996,"ATL","Atlanta Hawks"
"Eldridge Recasner",247500,1997,1996,"ATL","Atlanta Hawks"
"Ivano Newbill",247500,1997,1996,"ATL","Atlanta Hawks"
"Tyrone Corbin",247500,1997,1996,"ATL","Atlanta Hawks"
"Willie Burton",247500,1997,1996,"ATL","Atlanta Hawks"
"Donnie Boyce",247500,1997,1996,"ATL","Atlanta Hawks"
"Jon Barry",247500,1997,1996,"ATL","Atlanta Hawks"
"Henry James",181100,1997,1996,"ATL","Atlanta Hawks"
"Dikembe Mutombo",9615187,1998,1997,"ATL","Atlanta Hawks"
"Steve Smith",5400000,1998,1997,"ATL","Atlanta Hawks"
"Christian Laettner",5050000,1998,1997,"ATL","Atlanta Hawks"
"Ken Norman",3332000,1998,1997,"ATL","Atlanta Hawks"
"Mookie Blaylock",3000000,1998,1997,"ATL","Atlanta Hawks"
"Alan Henderson",1028400,1998,1997,"ATL","Atlanta Hawks"
"Ed Gray",723840,1998,1997,"ATL","Atlanta Hawks"
"Eldridge Recasner",326700,1998,1997,"ATL","Atlanta Hawks"
"Tyrone Corbin",326700,1998,1997,"ATL","Atlanta Hawks"
"Greg Anderson",272250,1998,1997,"ATL","Atlanta Hawks"
"Chucky Brown",272250,1998,1997,"ATL","Atlanta Hawks"
"Anthony Miller",272250,1998,1997,"ATL","Atlanta Hawks"
"Donald Whiteside",272250,1998,1997,"ATL","Atlanta Hawks"
"Chris Crawford",242000,1998,1997,"ATL","Atlanta Hawks"
"Dikembe Mutombo",11218000,1999,1998,"ATL","Atlanta Hawks"
"Steve Smith",6300000,1999,1998,"ATL","Atlanta Hawks"
"Alan Henderson",4725000,1999,1998,"ATL","Atlanta Hawks"
"Ken Norman",3775000,1999,1998,"ATL","Atlanta Hawks"
"Mookie Blaylock",3600000,1999,1998,"ATL","Atlanta Hawks"
"Grant Long",2977000,1999,1998,"ATL","Atlanta Hawks"
"Tyrone Corbin",2400000,1999,1998,"ATL","Atlanta Hawks"
"LaPhonso Ellis",1750000,1999,1998,"ATL","Atlanta Hawks"
"Anthony Johnson",1000000,1999,1998,"ATL","Atlanta Hawks"
"Mark West",1000000,1999,1998,"ATL","Atlanta Hawks"
"Ed Gray",832440,1999,1998,"ATL","Atlanta Hawks"
"Roshown McLeod",740000,1999,1998,"ATL","Atlanta Hawks"
"Chris Crawford",350000,1999,1998,"ATL","Atlanta Hawks"
"Jeffrey Sheppard",287500,1999,1998,"ATL","Atlanta Hawks"
"Dikembe Mutombo",12820249,2000,1999,"ATL","Atlanta Hawks"
"Isaiah Rider",5410000,2000,1999,"ATL","Atlanta Hawks"
"Alan Henderson",5318437,2000,1999,"ATL","Atlanta Hawks"
"Lorenzen Wright",4400000,2000,1999,"ATL","Atlanta Hawks"
"Bimbo Coles",2300000,2000,1999,"ATL","Atlanta Hawks"
"Chris Crawford",2000000,2000,1999,"ATL","Atlanta Hawks"
"LaPhonso Ellis",1925000,2000,1999,"ATL","Atlanta Hawks"
"Jim Jackson",1925000,2000,1999,"ATL","Atlanta Hawks"
"Duane Ferrell",1625000,2000,1999,"ATL","Atlanta Hawks"
"Jason Terry",1468920,2000,1999,"ATL","Atlanta Hawks"
"Scot Pollard",1063680,2000,1999,"ATL","Atlanta Hawks"
"Cal Bowdler",1025880,2000,1999,"ATL","Atlanta Hawks"
"Roshown McLeod",914760,2000,1999,"ATL","Atlanta Hawks"
"Dion Glover",893400,2000,1999,"ATL","Atlanta Hawks"
"Efthimi Rentzias",658700,2000,1999,"ATL","Atlanta Hawks"
"Jeffrey Sheppard",385000,2000,1999,"ATL","Atlanta Hawks"
"Brandon Williams",35176,2000,1999,"ATL","Atlanta Hawks"
"Dikembe Mutombo",14400000,2001,2000,"ATL","Atlanta Hawks"
"Alan Henderson",5910000,2001,2000,"ATL","Atlanta Hawks"
"Lorenzen Wright",4950000,2001,2000,"ATL","Atlanta Hawks"
"Jim Jackson",2330000,2001,2000,"ATL","Atlanta Hawks"
"Chris Crawford",2200000,2001,2000,"ATL","Atlanta Hawks"
"DerMarr Johnson",2107200,2001,2000,"ATL","Atlanta Hawks"
"Jason Terry",1579080,2001,2000,"ATL","Atlanta Hawks"
"Anthony Johnson",1200000,2001,2000,"ATL","Atlanta Hawks"
"Cal Bowdler",1102800,2001,2000,"ATL","Atlanta Hawks"
"Roshown McLeod",978600,2001,2000,"ATL","Atlanta Hawks"
"Dion Glover",960480,2001,2000,"ATL","Atlanta Hawks"
"Matt Maloney",611000,2001,2000,"ATL","Atlanta Hawks"
"Larry Robinson",611000,2001,2000,"ATL","Atlanta Hawks"
"Hanno Mottola",316969,2001,2000,"ATL","Atlanta Hawks"
"Anthony Miller",40000,2001,2000,"ATL","Atlanta Hawks"
"Shareef Abdur-Rahim",11250000,2002,2001,"ATL","Atlanta Hawks"
"Theo Ratliff",9667969,2002,2001,"ATL","Atlanta Hawks"
"Toni Kukoc",7906783,2002,2001,"ATL","Atlanta Hawks"
"Alan Henderson",6500312,2002,2001,"ATL","Atlanta Hawks"
"Nazr Mohammed",4500000,2002,2001,"ATL","Atlanta Hawks"
"Chris Crawford",2500000,2002,2001,"ATL","Atlanta Hawks"
"DerMarr Johnson",2265240,2002,2001,"ATL","Atlanta Hawks"
"Jason Terry",1689360,2002,2001,"ATL","Atlanta Hawks"
"Cal Bowdler",1179720,2002,2001,"ATL","Atlanta Hawks"
"Dion Glover",1027440,2002,2001,"ATL","Atlanta Hawks"
"Emanual Davis",715850,2002,2001,"ATL","Atlanta Hawks"
"Mark Strickland",715850,2002,2001,"ATL","Atlanta Hawks"
"Jacque Vaughn",590850,2002,2001,"ATL","Atlanta Hawks"
"Reggie Slater",523793,2002,2001,"ATL","Atlanta Hawks"
"Hanno Mottola",465850,2002,2001,"ATL","Atlanta Hawks"
"Dickey Simpkins",26190,2002,2001,"ATL","Atlanta Hawks"
"Shareef Abdur-Rahim",12375000,2003,2002,"ATL","Atlanta Hawks"
"Glenn Robinson",9860000,2003,2002,"ATL","Atlanta Hawks"
"Theo Ratliff",9375000,2003,2002,"ATL","Atlanta Hawks"
"Alan Henderson",7091250,2003,2002,"ATL","Atlanta Hawks"
"Nazr Mohammed",4750000,2003,2002,"ATL","Atlanta Hawks"
"Chris Crawford",2750000,2003,2002,"ATL","Atlanta Hawks"
"DerMarr Johnson",2423280,2003,2002,"ATL","Atlanta Hawks"
"Jason Terry",2153934,2003,2002,"ATL","Atlanta Hawks"
"Dion Glover",1584312,2003,2002,"ATL","Atlanta Hawks"
"Emanual Davis",824935,2003,2002,"ATL","Atlanta Hawks"
"Dan Dickau",776880,2003,2002,"ATL","Atlanta Hawks"
"Darvin Ham",699935,2003,2002,"ATL","Atlanta Hawks"
"Ira Newble",587435,2003,2002,"ATL","Atlanta Hawks"
"Matt Maloney",170716,2003,2002,"ATL","Atlanta Hawks"
"Amal McCaskill",143277,2003,2002,"ATL","Atlanta Hawks"
"Antonio Harvey",60361,2003,2002,"ATL","Atlanta Hawks"
"Mike Wilks",55402,2003,2002,"ATL","Atlanta Hawks"
"Paul Shirley",29832,2003,2002,"ATL","Atlanta Hawks"
"Shareef Abdur-Rahim",13500000,2004,2003,"ATL","Atlanta Hawks"
"Terrell Brandon",11100000,2004,2003,"ATL","Atlanta Hawks"
"Theo Ratliff",10156250,2004,2003,"ATL","Atlanta Hawks"
"Jason Terry",8333333,2004,2003,"ATL","Atlanta Hawks"
"Alan Henderson",7682188,2004,2003,"ATL","Atlanta Hawks"
"Nazr Mohammed",5000000,2004,2003,"ATL","Atlanta Hawks"
"Chris Crawford",3000000,2004,2003,"ATL","Atlanta Hawks"
"Boris Diaw",1021080,2004,2003,"ATL","Atlanta Hawks"
"Dion Glover",1000000,2004,2003,"ATL","Atlanta Hawks"
"Stephen Jackson",1000000,2004,2003,"ATL","Atlanta Hawks"
"Dan Dickau",835200,2004,2003,"ATL","Atlanta Hawks"
"Jacque Vaughn",813679,2004,2003,"ATL","Atlanta Hawks"
"Obinna Ekezie",688679,2004,2003,"ATL","Atlanta Hawks"
"Travis Hansen",366931,2004,2003,"ATL","Atlanta Hawks"
"Antoine Walker",14625000,2005,2004,"ATL","Atlanta Hawks"
"Al Harrington",6325000,2005,2004,"ATL","Atlanta Hawks"
"Chris Crawford",3250000,2005,2004,"ATL","Atlanta Hawks"
"Tony Delk",2700000,2005,2004,"ATL","Atlanta Hawks"
"Predrag Drobnjak",2550000,2005,2004,"ATL","Atlanta Hawks"
"Josh Childress",2490360,2005,2004,"ATL","Atlanta Hawks"
"Jon Barry",1800000,2005,2004,"ATL","Atlanta Hawks"
"Jason Collier",1500000,2005,2004,"ATL","Atlanta Hawks"
"Kevin Willis",1300000,2005,2004,"ATL","Atlanta Hawks"
"Josh Smith",1270080,2005,2004,"ATL","Atlanta Hawks"
"Kenny Anderson",1100000,2005,2004,"ATL","Atlanta Hawks"
"Boris Diaw",1097640,2005,2004,"ATL","Atlanta Hawks"
"Royal Ivey",425000,2005,2004,"ATL","Atlanta Hawks"
"Donta Smith",425000,2005,2004,"ATL","Atlanta Hawks"
"Jelani McCoy",167418,2005,2004,"ATL","Atlanta Hawks"
"Anthony Miller",34118,2005,2004,"ATL","Atlanta Hawks"
"Joe Johnson",12000000,2006,2005,"ATL","Atlanta Hawks"
"Al Harrington",6957500,2006,2005,"ATL","Atlanta Hawks"
"Zaza Pachulia",4000000,2006,2005,"ATL","Atlanta Hawks"
"Marvin Williams",3883560,2006,2005,"ATL","Atlanta Hawks"
"Tyronn Lue",3500000,2006,2005,"ATL","Atlanta Hawks"
"Tony Delk",3375000,2006,2005,"ATL","Atlanta Hawks"
"Josh Childress",2677200,2006,2005,"ATL","Atlanta Hawks"
"Jason Collier",1650000,2006,2005,"ATL","Atlanta Hawks"
"Josh Smith",1365360,2006,2005,"ATL","Atlanta Hawks"
"John Edwards",1000000,2006,2005,"ATL","Atlanta Hawks"
"Salim Stoudamire",675000,2006,2005,"ATL","Atlanta Hawks"
"Royal Ivey",641748,2006,2005,"ATL","Atlanta Hawks"
"Donta Smith",641748,2006,2005,"ATL","Atlanta Hawks"
"Esteban Batista",398762,2006,2005,"ATL","Atlanta Hawks"
"John Thomas",178675,2006,2005,"ATL","Atlanta Hawks"
"Joe Johnson",12744189,2007,2006,"ATL","Atlanta Hawks"
"Speedy Claxton",6854546,2007,2006,"ATL","Atlanta Hawks"
"Marvin Williams",4174800,2007,2006,"ATL","Atlanta Hawks"
"Zaza Pachulia",4000000,2007,2006,"ATL","Atlanta Hawks"
"Tyronn Lue",3500000,2007,2006,"ATL","Atlanta Hawks"
"Lorenzen Wright",3250000,2007,2006,"ATL","Atlanta Hawks"
"Shelden Williams",2952840,2007,2006,"ATL","Atlanta Hawks"
"Josh Childress",2863920,2007,2006,"ATL","Atlanta Hawks"
"Anthony Johnson",2640000,2007,2006,"ATL","Atlanta Hawks"
"Josh Smith",1460640,2007,2006,"ATL","Atlanta Hawks"
"Royal Ivey",744551,2007,2006,"ATL","Atlanta Hawks"
"Salim Stoudamire",729000,2007,2006,"ATL","Atlanta Hawks"
"Solomon Jones",675000,2007,2006,"ATL","Atlanta Hawks"
"Esteban Batista",664209,2007,2006,"ATL","Atlanta Hawks"
"Stanislav Medvedenko",625132,2007,2006,"ATL","Atlanta Hawks"
"Cedric Bozeman",412718,2007,2006,"ATL","Atlanta Hawks"
"Matt Freije",145961,2007,2006,"ATL","Atlanta Hawks"
"Dijon Thompson",89101,2007,2006,"ATL","Atlanta Hawks"
"Jeremy Richardson",55365,2007,2006,"ATL","Atlanta Hawks"
"Mike Bibby",13500000,2008,2007,"ATL","Atlanta Hawks"
"Joe Johnson",13488377,2008,2007,"ATL","Atlanta Hawks"
"Speedy Claxton",6306182,2008,2007,"ATL","Atlanta Hawks"
"Marvin Williams",4466040,2008,2007,"ATL","Atlanta Hawks"
"Zaza Pachulia",4000000,2008,2007,"ATL","Atlanta Hawks"
"Al Horford",3745800,2008,2007,"ATL","Atlanta Hawks"
"Josh Childress",3631449,2008,2007,"ATL","Atlanta Hawks"
"Josh Smith",2243543,2008,2007,"ATL","Atlanta Hawks"
"Acie Law",1927080,2008,2007,"ATL","Atlanta Hawks"
"Salim Stoudamire",783000,2008,2007,"ATL","Atlanta Hawks"
"Solomon Jones",729000,2008,2007,"ATL","Atlanta Hawks"
"Mario West",427163,2008,2007,"ATL","Atlanta Hawks"
"Jeremy Richardson",253499,2008,2007,"ATL","Atlanta Hawks"
"Mike Bibby",14983603,2009,2008,"ATL","Atlanta Hawks"
"Joe Johnson",14232567,2009,2008,"ATL","Atlanta Hawks"
"Josh Smith",10000000,2009,2008,"ATL","Atlanta Hawks"
"Speedy Claxton",5757818,2009,2008,"ATL","Atlanta Hawks"
"Marvin Williams",5636143,2009,2008,"ATL","Atlanta Hawks"
"Al Horford",4026720,2009,2008,"ATL","Atlanta Hawks"
"Zaza Pachulia",4000000,2009,2008,"ATL","Atlanta Hawks"
"Maurice Evans",2500000,2009,2008,"ATL","Atlanta Hawks"
"Acie Law",2071680,2009,2008,"ATL","Atlanta Hawks"
"Ronald Murray",1500000,2009,2008,"ATL","Atlanta Hawks"
"Solomon Jones",797581,2009,2008,"ATL","Atlanta Hawks"
"Randolph Morris",797581,2009,2008,"ATL","Atlanta Hawks"
"Thomas Gardner",711517,2009,2008,"ATL","Atlanta Hawks"
"Mario West",711517,2009,2008,"ATL","Atlanta Hawks"
"Othello Hunter",442114,2009,2008,"ATL","Atlanta Hawks"
"Joe Johnson",14976754,2010,2009,"ATL","Atlanta Hawks"
"Josh Smith",10800000,2010,2009,"ATL","Atlanta Hawks"
"Jamal Crawford",9360000,2010,2009,"ATL","Atlanta Hawks"
"Marvin Williams",7500000,2010,2009,"ATL","Atlanta Hawks"
"Mike Bibby",6217617,2010,2009,"ATL","Atlanta Hawks"
"Zaza Pachulia",4750000,2010,2009,"ATL","Atlanta Hawks"
"Al Horford",4307640,2010,2009,"ATL","Atlanta Hawks"
"Maurice Evans",2500000,2010,2009,"ATL","Atlanta Hawks"
"Jeff Teague",1373880,2010,2009,"ATL","Atlanta Hawks"
"Joe Smith",1306455,2010,2009,"ATL","Atlanta Hawks"
"Jason Collins",1181803,2010,2009,"ATL","Atlanta Hawks"
"Randolph Morris",855189,2010,2009,"ATL","Atlanta Hawks"
"Mario West",446740,2010,2009,"ATL","Atlanta Hawks"
"Othello Hunter",307564,2010,2009,"ATL","Atlanta Hawks"
"Joe Johnson",16324500,2011,2010,"ATL","Atlanta Hawks"
"Josh Smith",11600000,2011,2010,"ATL","Atlanta Hawks"
"Jamal Crawford",10800000,2011,2010,"ATL","Atlanta Hawks"
"Kirk Hinrich",9000000,2011,2010,"ATL","Atlanta Hawks"
"Marvin Williams",6712500,2011,2010,"ATL","Atlanta Hawks"
"Al Horford",5444857,2011,2010,"ATL","Atlanta Hawks"
"Zaza Pachulia",4251250,2011,2010,"ATL","Atlanta Hawks"
"Jeff Teague",1476840,2011,2010,"ATL","Atlanta Hawks"
"Jason Collins",1352181,2011,2010,"ATL","Atlanta Hawks"
"Etan Thomas",1223166,2011,2010,"ATL","Atlanta Hawks"
"Josh Powell",1069609,2011,2010,"ATL","Atlanta Hawks"
"Hilton Armstrong",992680,2011,2010,"ATL","Atlanta Hawks"
"Damien Wilkins",748656,2011,2010,"ATL","Atlanta Hawks"
"Pape Sy",473604,2011,2010,"ATL","Atlanta Hawks"
"Joe Johnson",18038573,2012,2011,"ATL","Atlanta Hawks"
"Josh Smith",12400000,2012,2011,"ATL","Atlanta Hawks"
"Al Horford",12000000,2012,2011,"ATL","Atlanta Hawks"
"Kirk Hinrich",8100000,2012,2011,"ATL","Atlanta Hawks"
"Marvin Williams",7500000,2012,2011,"ATL","Atlanta Hawks"
"Zaza Pachulia",4750000,2012,2011,"ATL","Atlanta Hawks"
"Jeff Teague",1579920,2012,2011,"ATL","Atlanta Hawks"
"Jerry Stackhouse",1352181,2012,2011,"ATL","Atlanta Hawks"
"Vladimir Radmanovic",1352181,2012,2011,"ATL","Atlanta Hawks"
"Tracy McGrady",1352181,2012,2011,"ATL","Atlanta Hawks"
"Jason Collins",1352181,2012,2011,"ATL","Atlanta Hawks"
"Willie Green",1223166,2012,2011,"ATL","Atlanta Hawks"
"Jannero Pargo",1223166,2012,2011,"ATL","Atlanta Hawks"
"Erick Dampier",850522,2012,2011,"ATL","Atlanta Hawks"
"Ivan Johnson",473604,2012,2011,"ATL","Atlanta Hawks"
"Donald Sloan",122237,2012,2011,"ATL","Atlanta Hawks"
"Josh Smith",13200000,2013,2012,"ATL","Atlanta Hawks"
"Al Horford",12000000,2013,2012,"ATL","Atlanta Hawks"
"Devin Harris",8500000,2013,2012,"ATL","Atlanta Hawks"
"Zaza Pachulia",5248750,2013,2012,"ATL","Atlanta Hawks"
"Kyle Korver",5000000,2013,2012,"ATL","Atlanta Hawks"
"Louis Williams",5000000,2013,2012,"ATL","Atlanta Hawks"
"Johan Petro",3500000,2013,2012,"ATL","Atlanta Hawks"
"Dahntay Jones",2900000,2013,2012,"ATL","Atlanta Hawks"
"Jeff Teague",2433077,2013,2012,"ATL","Atlanta Hawks"
"DeShawn Stevenson",2240450,2013,2012,"ATL","Atlanta Hawks"
"Jordan Farmar",1500000,2013,2012,"ATL","Atlanta Hawks"
"John Jenkins",1204560,2013,2012,"ATL","Atlanta Hawks"
"Ivan Johnson",962195,2013,2012,"ATL","Atlanta Hawks"
"Anthony Tolliver",915852,2013,2012,"ATL","Atlanta Hawks"
"Jeremy Tyler",762195,2013,2012,"ATL","Atlanta Hawks"
"Jordan Williams",762195,2013,2012,"ATL","Atlanta Hawks"
"Mike Scott",473604,2013,2012,"ATL","Atlanta Hawks"
"Jannero Pargo",165487,2013,2012,"ATL","Atlanta Hawks"
"Al Horford",12000000,2014,2013,"ATL","Atlanta Hawks"
"Paul Millsap",9500000,2014,2013,"ATL","Atlanta Hawks"
"Jeff Teague",8000000,2014,2013,"ATL","Atlanta Hawks"
"Kyle Korver",6760563,2014,2013,"ATL","Atlanta Hawks"
"Louis Williams",5225000,2014,2013,"ATL","Atlanta Hawks"
"Elton Brand",4000000,2014,2013,"ATL","Atlanta Hawks"
"DeMarre Carroll",2557545,2014,2013,"ATL","Atlanta Hawks"
"Gustavo Ayon",1500000,2014,2013,"ATL","Atlanta Hawks"
"Dennis Schroeder",1348200,2014,2013,"ATL","Atlanta Hawks"
"John Jenkins",1258800,2014,2013,"ATL","Atlanta Hawks"
"Jared Cunningham",1208400,2014,2013,"ATL","Atlanta Hawks"
"Shelvin Mack",884293,2014,2013,"ATL","Atlanta Hawks"
"Mike Scott",788872,2014,2013,"ATL","Atlanta Hawks"
"Jeremy Tyler",100000,2014,2013,"ATL","Atlanta Hawks"
"Al Horford",12000000,2015,2014,"ATL","Atlanta Hawks"
"Paul Millsap",9500000,2015,2014,"ATL","Atlanta Hawks"
"Jeff Teague",8000000,2015,2014,"ATL","Atlanta Hawks"
"Kyle Korver",6253521,2015,2014,"ATL","Atlanta Hawks"
"Thabo Sefolosha",4150000,2015,2014,"ATL","Atlanta Hawks"
"Mike Scott",3333333,2015,2014,"ATL","Atlanta Hawks"
"DeMarre Carroll",2442455,2015,2014,"ATL","Atlanta Hawks"
"Shelvin Mack",2433333,2015,2014,"ATL","Atlanta Hawks"
"Kent Bazemore",2000000,2015,2014,"ATL","Atlanta Hawks"
"Elton Brand",2000000,2015,2014,"ATL","Atlanta Hawks"
"Dennis Schroder",1690680,2015,2014,"ATL","Atlanta Hawks"
"John Jenkins",1312920,2015,2014,"ATL","Atlanta Hawks"
"Pero Antic",1250000,2015,2014,"ATL","Atlanta Hawks"
"John Salmons",1000000,2015,2014,"ATL","Atlanta Hawks"
"Mike Muscala",816482,2015,2014,"ATL","Atlanta Hawks"
"Austin Daye",125104,2015,2014,"ATL","Atlanta Hawks"
"Jarell Eddie",29843,2015,2014,"ATL","Atlanta Hawks"
"Cameron Bairstow",19000000,2016,2015,"ATL","Atlanta Hawks"
"Al Horford",12000000,2016,2015,"ATL","Atlanta Hawks"
"Tiago Splitter",8500000,2016,2015,"ATL","Atlanta Hawks"
"Jeff Teague",8000000,2016,2015,"ATL","Atlanta Hawks"
"Kyle Korver",5746479,2016,2015,"ATL","Atlanta Hawks"
"Thabo Sefolosha",4000000,2016,2015,"ATL","Atlanta Hawks"
"Mike Scott",3333333,2016,2015,"ATL","Atlanta Hawks"
"Kirk Hinrich",2870000,2016,2015,"ATL","Atlanta Hawks"
"Kent Bazemore",2000000,2016,2015,"ATL","Atlanta Hawks"
"Dennis Schroder",1763400,2016,2015,"ATL","Atlanta Hawks"
"Tim Hardaway",1304520,2016,2015,"ATL","Atlanta Hawks"
"Walter Tavares",1000000,2016,2015,"ATL","Atlanta Hawks"
"Mike Muscala",947276,2016,2015,"ATL","Atlanta Hawks"
"Lamar Patterson",525093,2016,2015,"ATL","Atlanta Hawks"
"Kris Humphries",388025,2016,2015,"ATL","Atlanta Hawks"
"Terran Petteway",75000,2016,2015,"ATL","Atlanta Hawks"
"Dwight Howard",23180275,2017,2016,"ATL","Atlanta Hawks"
"Paul Millsap",20072033,2017,2016,"ATL","Atlanta Hawks"
"Kent Bazemore",15730338,2017,2016,"ATL","Atlanta Hawks"
"Ersan Ilyasova",8400000,2017,2016,"ATL","Atlanta Hawks"
